timestamp,tps,map,air_temp,engine_temp,oil_pressure,fuel_pressure,water_pressure,gear,exhaust_o2,rpm,oil_temp1,pit_limit,wheel_speed_fr,wheel_speed_fl,wheel_speed_rr,wheel_speed_rl,tc_slip,tc_retard,tc_cut,heading,shock_fr,shock_fl,shock_rr,shock_rl,g_accel,g_lateral,yaw_rate_frontal,yaw_rate_lateral,lambda_correction,fuel_flow_total,inj_time_bank_a,inj_time_bank_b,oil_temp2,trans_temp,fuel_consumption,brake_pressure,latitude,longitude,distance_km,gps_speed_knots
1762305457.0035822,0.0,0.0,0.0,0.0,0.2,3.969,0.0,0,1.0,1000.0,0.0,False,0.0,0.0,0.0,0.0,32767,11,0,3,-0.001,0.0,0.0,0.0,0.0,0.2,3969,0,0,1000,10.0,0.0,0.0,0.0,0,0.0,nan,1.5414283107572988e-44,56.511865302631584,0.0
1762305457.0036106,0.0,0.0,0.0,0.0,0.2,3.969,0.0,0,1.0,1000.0,0.0,False,0.0,0.0,0.0,0.0,32767,11,0,3,-0.001,0.0,0.0,0.0,0.0,0.2,3969,0,0,1000,10.0,0.0,0.0,0.0,0,0.0,nan,1.5414283107572988e-44,56.511865302631584,0.0
1762305457.013276,0.0,0.0,0.0,0.0,0.2,3.969,0.0,0,1.0,1000.0,0.0,False,0.0,0.0,0.0,0.0,32767,11,0,3,-0.001,0.0,0.0,0.0,0.0,0.2,3969,0,0,1000,10.0,0.0,0.0,0.0,0,0.0,nan,1.5414283107572988e-44,56.511865302631584,0.0
1762305457.013307,0.0,0.0,0.0,0.0,0.2,3.969,0.0,0,1.0,1000.0,0.0,False,0.0,0.0,0.0,0.0,32767,11,0,3,-0.001,0.0,0.0,0.0,0.0,0.2,3969,0,0,1000,10.0,0.0,0.0,0.0,0,0.0,nan,1.5414283107572988e-44,56.511865302631584,0.0
1762305457.0133336,0.0,0.0,0.0,0.0,0.2,3.969,0.0,0,1.0,1000.0,0.0,False,0.0,0.0,0.0,0.0,32767,11,0,3,-0.001,0.0,0.0,0.0,0.0,0.2,3969,0,0,1000,10.0,0.0,0.0,0.0,0,0.0,nan,1.5414283107572988e-44,56.511865302631584,0.0
1762305457.0133586,0.0,0.0,0.0,0.0,0.2,3.969,0.0,0,1.0,1000.0,0.0,False,0.0,0.0,0.0,0.0,32767,11,0,3,-0.001,0.0,0.0,0.0,0.0,0.2,3969,0,0,1000,10.0,0.0,0.0,0.0,0,0.0,nan,1.5414283107572988e-44,56.511865302631584,0.0
1762305457.0133832,0.0,0.0,0.0,0.0,0.2,3.969,0.0,0,1.0,1000.0,0.0,False,0.0,0.0,0.0,0.0,32767,11,0,3,-0.001,0.0,0.0,0.0,0.0,0.2,3969,0,0,1000,10.0,0.0,0.0,0.0,0,0.0,nan,1.5414283107572988e-44,56.511865302631584,0.0
1762305457.0134082,0.0,0.0,0.0,0.0,0.2,3.969,0.0,0,1.0,1000.0,0.0,False,0.0,0.0,0.0,0.0,32767,11,0,3,-0.001,0.0,0.0,0.0,0.0,0.2,3969,0,0,1000,10.0,0.0,0.0,0.0,0,0.0,nan,1.5414283107572988e-44,56.511865302631584,0.0
1762305457.0134318,0.0,0.0,0.0,0.0,0.2,3.969,0.0,0,1.0,1000.0,0.0,False,0.0,0.0,0.0,0.0,32767,11,0,3,-0.001,0.0,0.0,0.0,0.0,0.2,3969,0,0,1000,10.0,0.0,0.0,0.0,0,0.0,nan,1.5414283107572988e-44,56.511865302631584,0.0
1762305457.013456,0.0,0.0,0.0,0.0,0.2,3.969,0.0,0,1.0,1000.0,0.0,False,0.0,0.0,0.0,0.0,32767,11,0,3,-0.001,0.0,0.0,0.0,0.0,0.2,3969,0,0,1000,10.0,0.0,0.0,0.0,0,0.0,nan,1.5414283107572988e-44,56.511865302631584,0.0
